id,title,severity,status,assignee_id,module_id,blocks_release_id
BUG-001,ログイン画面がフリーズする,critical,open,ENG-001,MOD-001,REL-002
BUG-002,検索結果が0件になる,high,open,ENG-002,MOD-002,REL-002
BUG-003,パスワードリセットメールが届かない,medium,resolved,ENG-003,MOD-001,
BUG-004,クレジットカード決済がタイムアウトする,critical,open,ENG-001,MOD-003,REL-002
BUG-005,商品画像が表示されない,high,open,ENG-006,MOD-004,REL-002
BUG-006,カートに追加後に金額がずれる,high,in_progress,ENG-003,MOD-003,REL-002
BUG-007,iOSアプリが起動時にクラッシュする,critical,open,ENG-004,MOD-005,REL-005
BUG-008,Androidで通知が届かない,medium,open,ENG-009,MOD-006,REL-005
BUG-009,管理者がユーザー削除できない,high,resolved,ENG-008,MOD-007,
BUG-010,レポートのCSVエクスポートが文字化けする,medium,open,ENG-010,MOD-008,
BUG-011,セッションが30分で切れる,low,open,ENG-001,MOD-001,REL-003
BUG-012,検索フィルタが保存されない,low,in_progress,ENG-002,MOD-002,
BUG-013,決済完了メールが二重送信される,high,open,ENG-003,MOD-003,REL-002
BUG-014,iOSプッシュ通知のディープリンクが動作しない,medium,open,ENG-004,MOD-005,REL-005
BUG-015,管理画面のページネーションが壊れている,low,resolved,ENG-005,MOD-007,
BUG-016,商品カテゴリの並び順が崩れる,low,open,ENG-006,MOD-004,
BUG-017,ログアウト後もセッションが残る,critical,open,ENG-007,MOD-001,REL-002
BUG-018,Androidアプリのメモリリーク,high,in_progress,ENG-009,MOD-006,REL-005
BUG-019,パスワード変更後に自動ログアウトしない,medium,open,ENG-008,MOD-001,REL-003
BUG-020,レポートの日付フィルタが機能しない,medium,open,ENG-010,MOD-008,
BUG-021,決済時に在庫チェックが行われない,critical,open,ENG-001,MOD-003,REL-002
BUG-022,検索のオートコンプリートが遅い,medium,open,ENG-002,MOD-002,
BUG-023,iOSアプリのダークモード対応不備,low,open,ENG-004,MOD-005,
BUG-024,管理者ロールの権限チェックが不正,critical,open,ENG-007,MOD-007,REL-005
BUG-025,商品レビューが投稿できない,high,open,ENG-006,MOD-004,REL-002
BUG-026,CI/CDパイプラインが失敗する,high,open,ENG-007,MOD-001,REL-002
BUG-027,ステージング環境のデプロイが遅い,medium,in_progress,ENG-007,MOD-005,
BUG-028,APIのレートリミットが機能しない,high,open,ENG-008,MOD-015,REL-003
BUG-029,データベース接続プールが枯渇する,critical,open,ENG-003,MOD-003,REL-002
BUG-030,ユーザー登録時にメールアドレスの重複チェックが失敗する,high,open,ENG-001,MOD-001,REL-002
BUG-031,データパイプラインのジョブが夜間にタイムアウトする,critical,open,ENG-012,MOD-009,REL-007
BUG-032,データウェアハウスのクエリが5分以上かかる,high,in_progress,ENG-020,MOD-010,REL-007
BUG-033,推薦アルゴリズムが同じ商品を繰り返す,high,open,ENG-013,MOD-011,REL-009
BUG-034,A/Bテストの割り当てが偏る,medium,open,ENG-021,MOD-012,REL-009
BUG-035,脆弱性スキャナの誤検知率が高い,medium,in_progress,ENG-011,MOD-013,REL-010
BUG-036,アクセスログの集計が日付をまたぐと失敗する,high,open,ENG-019,MOD-014,REL-010
